id,name,open,closed
MDExOlB1bGxSZXF1ZXN0NDI2MTI=,https://github.com/cucumber/cucumber-ruby/pull/26,2010-12-15T06:19:04Z,2010-12-27T00:45:15Z
MDExOlB1bGxSZXF1ZXN0NDczMTU=,https://github.com/cucumber/cucumber-ruby/pull/27,2010-12-27T14:31:51Z,2011-03-13T22:23:03Z
MDExOlB1bGxSZXF1ZXN0NDk4NzQ=,https://github.com/cucumber/cucumber-ruby/pull/28,2011-01-04T00:58:10Z,2011-03-20T19:44:28Z
MDExOlB1bGxSZXF1ZXN0NTIzMzg=,https://github.com/cucumber/cucumber-ruby/pull/29,2011-01-08T23:50:15Z,2011-03-20T19:46:22Z
MDExOlB1bGxSZXF1ZXN0NTgwNDM=,https://github.com/cucumber/cucumber-ruby/pull/30,2011-01-20T02:26:56Z,2011-03-20T19:40:54Z
MDExOlB1bGxSZXF1ZXN0NTg0NTQ=,https://github.com/cucumber/cucumber-ruby/pull/31,2011-01-20T21:00Z,2011-05-05T07:36:01Z
MDExOlB1bGxSZXF1ZXN0NjA3MjI=,https://github.com/cucumber/cucumber-ruby/pull/32,2011-01-25T11:49:30Z,2011-03-20T19:25:13Z
MDExOlB1bGxSZXF1ZXN0NjMzNzE=,https://github.com/cucumber/cucumber-ruby/pull/33,2011-01-29T13:42:24Z,2011-03-13T19:14:11Z
MDExOlB1bGxSZXF1ZXN0NzA1MTQ=,https://github.com/cucumber/cucumber-ruby/pull/34,2011-02-10T08:28:18Z,2011-03-13T22:07:01Z
MDExOlB1bGxSZXF1ZXN0NzY3ODI=,https://github.com/cucumber/cucumber-ruby/pull/35,2011-02-19T12:16:05Z,2011-03-13T19:14:15Z
MDExOlB1bGxSZXF1ZXN0Nzc5NDY=,https://github.com/cucumber/cucumber-ruby/pull/36,2011-02-21T21:05:02Z,2011-03-20T20:33:40Z
MDExOlB1bGxSZXF1ZXN0ODg5NjQ=,https://github.com/cucumber/cucumber-ruby/pull/37,2011-03-09T04:30:10Z,2011-03-13T19:14:18Z
MDExOlB1bGxSZXF1ZXN0OTEzMzA=,https://github.com/cucumber/cucumber-ruby/pull/38,2011-03-11T21:51:25Z,2011-03-20T19:14Z
MDExOlB1bGxSZXF1ZXN0OTEzNjQ=,https://github.com/cucumber/cucumber-ruby/pull/39,2011-03-11T22:31:39Z,2011-03-20T19:38:05Z
MDExOlB1bGxSZXF1ZXN0OTMwMjE=,https://github.com/cucumber/cucumber-ruby/pull/40,2011-03-14T22:39:43Z,2011-03-20T19:10:46Z
MDExOlB1bGxSZXF1ZXN0OTY2MzI=,https://github.com/cucumber/cucumber-ruby/pull/41,2011-03-19T04:24:33Z,2011-03-20T19:02:14Z
MDExOlB1bGxSZXF1ZXN0OTc0MzE=,https://github.com/cucumber/cucumber-ruby/pull/42,2011-03-21T01:12:09Z,2011-05-04T23:18:19Z
MDExOlB1bGxSZXF1ZXN0MTAwNjM1,https://github.com/cucumber/cucumber-ruby/pull/43,2011-03-24T19:12:13Z,2012-03-03T23:22:18Z
MDExOlB1bGxSZXF1ZXN0MTA1Mjkx,https://github.com/cucumber/cucumber-ruby/pull/44,2011-03-30T17:08:45Z,2011-04-30T15:19:50Z
